Participant_Age,EmployStatus,EmployType,HouseIncome,Tenure,Tenure_Length,Social_Group,HP_Awareness,House_Type,House_Form,House_Env,House_Age,House_SAP,No_Adults,No_Child,No_Storeys,Total_Floor_Area,Habitable_Rooms,Bedrooms,Heated_rooms,Floor_Height,Wall_Type,Floor_Type,Roof_Type,Glazed_Type,Mains_Gas_Flag,Main_Fuel,Heat_Primary_Source,Heat_Secondary_Source,TS_Existing,TS_Existing_Size,No_Underfloor,Existing_Fires,Existing_Cooking,Outside_Space,Outside_Access,Elec_currentuse,Gas_currentuse,MCS_SHLoad,MCS_Hloss,MCS_SHAnnual,MCS_DHWAnnual,MCS_Immersion,MCS_Flow_Temp,MCS_SCOP,Suit_ASHP,Suit_GSHP,Suit_HTASHP,Suit_Hybrid,HP_Recommend,Measures_Recommend,EstCost_System,EstCost_Ancillary,EstCost_Running,EstCost_Etariff,EstCost_Gtariff,Part_Install_Decision,HP_Installed,HP_Installed_Detail,HP_Brand,HP_Model,HP_Size_kW,HP_Refrigerant,GSHP_Space,TS_Type,TS_Water_Size,TS_PCM_Size,HP_Control_Zones,Measures_emitters_LT,Measures_emitters_Std,Measures_Fanassist,HP_Aesthetic,HP_Noise,Cooling,Cooling_Rooms,Fires_replaced,Cook_Replaced,Gas_disconnect,Measures_Loft,Measures_Windows,Measures_Doors,Measures_WI,Measures_DP,Cost_HP,Cost_TS,Cost_Install,Cost_Emitters,Cost_Cooling,Cost_LI,Cost_WI,Cost_Window,Cost_Door,Cost_DP,Install_time_HP,Install_time_measures,Dwelling_Type
35.0,working full time (>30hrs),professional,"50,001+",owner-occupied,3.0,ab,1.0,house,semi-detached,urban,1930 - 1949,,2.0,3.0,2.0,105.0,6.0,4.0,12.0,2.6,cavity_no_insulation,suspended,pitched,double,yes,gas,gas boiler - standard,fire - gas,water,120.0,0.0,1.0,1.0,no,no,3706.0,23051.0,16.502,135.58,15974.0,4776.0,0.0,,,no,no,no,yes,hybrid,none required,10800.81,0.0,1553.0,14.3,3.8,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house_semi-detached_2.0_2.0_3.0
71.0,working full time (>30hrs),manager,"50,001+",owner-occupied,1.0,ab,3.0,house,semi-detached,urban,1950 - 1966,,2.0,0.0,2.0,84.0,5.0,3.0,12.0,2.4,cavity_insulated,solid,pitched,double,yes,gas,gas boiler - standard,,water,100.0,0.0,1.0,1.0,no,no,663.0,15896.0,6.612,78.71,13245.0,3820.0,0.0,55.0,2.96,no,no,no,yes,hybrid,barrier,11170.02,300.0,870.0,14.3,3.8,yes,hybrid,separate_new boiler,daikin,ehy2komb28aa,4.0,r32,,,,,1.0,12.0,0.0,0.0,none,barrier,no,0.0,0.0,0.0,no,no,0.0,0.0,,no,5739.8,,,3240.82,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,house_semi-detached_2.0_2.0_0.0
71.0,retired,pensioner,"40,001 - 50,000",owner-occupied,32.0,de,3.0,house,detached,suburban,1983 - 1990,,2.0,0.0,2.0,100.0,5.0,4.0,9.0,2.35,cavity_insulated,suspended,pitched,double,yes,gas,gas boiler - standard,,water,110.0,0.0,0.0,0.0,no,no,3487.0,13291.0,7.062,67.94,17105.0,4993.0,218.0,,,yes,no,yes,yes,ashp,none required,13134.93,0.0,972.0,14.3,3.8,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house_detached_2.0_2.0_0.0
69.0,retired,pensioner,"30,001 - 40,000",owner-occupied,0.9,de,2.0,house,detached,suburban,1967 - 1975,,2.0,0.0,2.0,127.42,6.0,4.0,11.0,2.3,cavity_no_insulation,suspended,pitched,double,yes,gas,gas boiler - combi,fire - electric,,,0.0,0.0,0.0,no,no,3839.0,19776.0,11.234,91.97,11530.0,4776.0,0.0,,,yes,no,no,yes,hybrid,none required,11342.4,0.0,1273.0,14.3,3.8,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house_detached_2.0_2.0_0.0
45.0,working full time (>30hrs),professional,"30,001 - 40,000",owner-occupied,8.0,ab,1.0,house,detached,urban,1967 - 1975,e,2.0,2.0,2.0,102.0,4.0,3.0,8.0,2.4,cavity_insulated,suspended,pitched,double,yes,gas,gas boiler - combi,,,,0.0,0.0,0.0,no,no,2772.0,10584.0,6.562,89.38,15875.0,4002.0,181.0,45.0,3.57,yes,no,yes,yes,ashp,none required,11863.76,,835.0,14.3,3.8,yes,ashp,,daikin,edlq07cav5,7.0,r410a,,water_new,200.0,,1.0,9.0,0.0,0.0,none,none,no,0.0,0.0,0.0,no,no,0.0,0.0,,no,5648.0,1752.0,,3053.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,house_detached_2.0_2.0_2.0
55.0,unemployed,unemployed/benefits,"12,501 - 16,200",owner-occupied,42.0,de,1.0,house,semi-detached,suburban,1950 - 1966,,2.0,0.0,2.0,94.0,5.0,3.0,11.0,2.4,cavity_insulated,solid,pitched,double,yes,gas,gas boiler - combi,,,,0.0,0.0,1.0,no,no,1617.0,7947.0,5.586,69.84,11237.3,4182.0,616.0,45.0,3.57,yes,no,no,no,ashp,,12989.76,,658.0,14.3,3.8,yes,ashp,,daikin,edlq07cav3,7.0,r410a,,water_new,180.0,,1.0,9.0,9.0,0.0,none,none,no,0.0,0.0,0.0,no,no,0.0,0.0,,no,5648.01,1752.34,,2685.85,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,house_semi-detached_2.0_2.0_0.0
60.0,working full time (>30hrs),professional,"40,001 - 50,000",owner-occupied,24.0,ab,4.0,house,detached,suburban,1930 - 1949,,4.0,0.0,2.0,131.14,6.0,4.0,11.0,2.6,cavity_insulated,suspended,pitched,double,yes,gas,gas boiler - standard,fire - gas,water,150.0,0.0,1.0,1.0,no,no,1583.0,16944.0,10.29,78.54,20629.0,4993.0,218.0,55.0,3.54,yes with additional measures,no,yes,yes,ht_ashp,none required,17251.0,,1112.0,14.3,3.8,yes,ht_ashp,,daikin,epra16dav3,16.0,r32,,water_new,300.0,,1.0,11.0,0.0,0.0,,,no,0.0,0.0,0.0,no,no,0.0,0.0,,no,9687.81,1752.34,,3055.83,,0.0,0.0,0.0,0.0,0.0,4.0,,house_detached_2.0_4.0_0.0
29.0,working full time (>30hrs),professional,"50,001+",owner-occupied,2.0,ab,4.0,house,detached,suburban,2012 onwards,c,2.0,0.0,2.0,90.0,4.0,3.0,11.0,2.3,cavity_insulated,solid,pitched,double,yes,gas,gas boiler - combi,,,,0.0,0.0,1.0,no,yes,2392.0,8609.0,6.14,68.28,6146.0,3196.0,1885.0,45.0,3.26,yes,no,yes,yes,ht_ashp,,13167.32,0.0,491.0,12.9,4.0,yes,ht_ashp,,vaillant,vwl 75/6 a 230v s2,7.0,r290,,water_new,150.0,,1.0,8.0,0.0,0.0,,,no,0.0,0.0,0.0,no,no,0.0,0.0,,no,5789.0,1701.71,,2500.86,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,house_detached_2.0_2.0_0.0
52.0,working full time (>30hrs),professional,"50,001+",owner-occupied,23.0,ab,1.0,house,end-terrace,suburban,1950 - 1966,,2.0,0.0,1.0,50.0,3.0,2.0,6.0,2.4,cavity_no_insulation,suspended,pitched,double,yes,gas,gas - warm air,fire - electric,,,0.0,0.0,0.0,no,no,4321.0,11200.0,3.941,78.79,9553.8,3136.0,461.0,46.0,3.61,yes,no,no,no,ashp,,12249.78,,532.0,14.3,3.8,yes,ashp,,daikin,edlq07cav3,7.0,r410a,,water_new,150.0,,1.0,6.0,5.0,1.0,none,none,no,0.0,0.0,0.0,no,no,0.0,0.0,,no,5648.01,1701.71,,3256.87,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,house_end-terrace_1.0_2.0_0.0
74.0,retired,pensioner,"25,001 - 30,000",owner-occupied,37.0,de,4.0,house,mid-terrace,urban,1950 - 1966,,2.0,0.0,2.0,111.0,6.0,5.0,13.0,2.4,cavity_insulated,suspended,pitched,double,yes,gas,gas boiler - combi,,,,0.0,0.0,1.0,no,no,1418.0,10119.0,8.209,83.52,8571.0,5731.0,0.0,,,no,no,no,yes,hybrid,none required,10245.84,0.0,995.0,14.3,3.8,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house_mid-terrace_2.0_2.0_0.0
